pair,doc_mix,ndcg_0,ndcg_10,ndcg_30,ndcg_50,ndcg_70,ndcg_90,ndcg_100,fit_rows,predicted_alpha
HI-ID,HI + ID docs,30.624582,31.251654,32.63682,33.089626,32.755207,31.920536,31.390217,4373,50
HI-ID,HI docs,30.363998,30.949697,31.816877,31.174015,28.33037,23.622679,21.205755,4373,30
HI-ID,ID docs,20.037127,22.679642,27.963177,31.431944,32.117477,31.698956,31.23286,4373,70
HI-PT,HI + PT docs,30.824194,31.753984,33.087353,34.041565,34.35324,33.639072,33.024612,4373,70
HI-PT,HI docs,30.363998,31.108152,31.95797,31.423454,28.256994,23.756563,21.37134,4373,30
HI-PT,PT docs,21.102085,24.241396,29.610403,33.074696,33.909092,33.352997,32.86123,4373,70
HI-RU,HI + RU docs,30.84535,31.495258,32.68961,32.951492,32.333805,31.274118,30.621183,4373,50
HI-RU,HI docs,30.363998,30.908468,31.725107,30.94073,27.278545,21.65016,19.200779,4373,30
HI-RU,RU docs,19.287096,21.887783,27.190954,30.628822,31.309845,30.786524,30.337633,4373,70
HI-VI,HI + VI docs,30.621992,31.264286,32.027508,31.771275,30.353308,28.99236,28.38917,4373,30
HI-VI,HI docs,30.363998,30.871658,31.327507,30.402596,25.98849,19.573858,16.734812,4373,30
HI-VI,VI docs,18.648302,20.993254,25.958408,29.021715,29.46047,28.793667,28.347124,4373,70
HI-ZH,HI + ZH docs,30.77678,31.53979,32.295135,32.140514,30.59683,29.626448,29.074322,4373,30
HI-ZH,HI docs,30.363998,31.020409,31.521763,30.38543,25.499725,18.703678,15.598854,4373,30
HI-ZH,ZH docs,16.455332,19.094475,24.850294,29.357903,30.00126,29.448399,28.94577,4373,70
ID-PT,ID + PT docs,31.88205,32.69282,33.896782,34.254395,34.43041,33.580208,33.08229,4373,70
ID-PT,ID docs,31.23286,31.850832,32.674496,32.385983,30.557022,27.895863,26.594616,4373,30
ID-PT,PT docs,26.61901,28.238272,31.626902,33.667545,34.174614,33.365433,32.86123,4373,70
ID-RU,ID + RU docs,31.738127,32.136997,32.949,33.166714,32.67776,31.520777,30.87942,4373,50
ID-RU,ID docs,31.23286,31.665308,32.320095,31.501883,28.462904,24.250952,22.178791,4373,30
ID-RU,RU docs,23.169878,25.109125,28.887583,31.692005,31.826513,30.893805,30.337633,4373,70
ID-VI,ID + VI docs,31.397875,31.738024,32.150986,31.484968,30.354544,29.208773,28.60153,4373,30
ID-VI,ID docs,31.23286,31.610804,31.843317,31.194778,27.74908,23.24848,21.43423,4373,30
ID-VI,VI docs,23.661139,24.877977,27.888834,29.788305,29.781122,28.850855,28.347124,4373,50
ID-ZH,ID + ZH docs,31.635818,32.024807,32.204865,31.364624,30.614002,29.78999,29.227125,4373,30
ID-ZH,ID docs,31.23286,31.60197,32.17552,30.91588,26.539745,20.58556,17.853212,4373,30
ID-ZH,ZH docs,19.569817,21.863005,26.505413,29.981535,30.138788,29.458591,28.94577,4373,70
IT-AR,AR docs,20.29035,22.336948,26.557718,29.108461,28.823114,27.563139,26.720814,4373,50
IT-AR,IT + AR docs,32.81052,32.9657,33.14229,32.201527,29.988388,28.237383,27.26305,4373,30
IT-AR,IT docs,32.74416,32.968765,33.12623,31.855341,26.969254,20.107033,17.077751,4373,30
IT-DE,DE docs,26.132809,27.561954,30.72015,32.6944,32.99027,32.351665,31.79591,4373,70
IT-DE,IT + DE docs,33.10181,33.483135,34.477127,34.39919,33.939377,32.98608,32.4181,4373,30
IT-DE,IT docs,32.74416,33.151314,33.86403,33.493923,31.267948,27.862114,26.36323,4373,30
IT-HI,HI docs,20.303265,22.852535,27.831568,31.258318,31.8376,30.9597,30.363998,4373,70
IT-HI,IT + HI docs,32.817154,33.16981,34.235855,34.244724,32.82825,31.517622,30.787056,4373,50
IT-HI,IT docs,32.74416,33.087482,33.889893,33.0351,29.15285,23.17174,20.191607,4373,30
IT-ID,ID docs,25.555567,27.010197,29.61987,31.937325,32.37018,31.617897,31.23286,4373,70
IT-ID,IT + ID docs,32.850716,33.187866,34.00683,33.858852,33.158546,32.27671,31.54917,4373,30
IT-ID,IT docs,32.74416,33.070274,33.7047,33.364185,31.174751,27.794392,26.192703,4373,30
IT-JA,IT + JA docs,32.76581,33.268204,34.008804,33.522034,32.642513,31.71503,31.129696,4373,30
IT-JA,IT docs,32.74416,33.23838,33.876453,32.68092,29.059147,23.073404,20.387657,4373,30
IT-JA,JA docs,19.364834,21.79263,27.15398,30.742165,31.447044,31.086946,30.724192,4373,70
IT-NL,IT + NL docs,33.05598,33.566475,34.57062,34.53847,34.123425,33.77735,33.33263,4373,30
IT-NL,IT docs,32.74416,33.16676,33.93771,33.52949,31.413504,28.313547,26.877182,4373,30
IT-NL,NL docs,26.863867,28.11541,31.277573,33.29572,33.663094,33.37764,33.03506,4373,70
IT-PT,IT + PT docs,32.991817,33.450005,34.356205,34.72989,34.653854,33.850536,33.343,4373,50
IT-PT,IT docs,32.74416,33.179188,33.927715,33.79197,32.375786,30.215881,29.120958,4373,30
IT-PT,PT docs,29.011335,30.07587,32.36493,33.575867,33.82809,33.317284,32.86123,4373,70
IT-RU,IT + RU docs,32.948883,33.260303,33.868668,33.61514,32.71595,31.55651,31.023108,4373,30
IT-RU,IT docs,32.74416,33.01565,33.61173,32.890583,30.104933,25.727478,23.692293,4373,30
IT-RU,RU docs,24.111546,25.838434,29.400963,31.480095,31.568653,30.826317,30.337633,4373,70
IT-VI,IT + VI docs,32.88693,33.18435,33.554424,32.346844,30.472116,29.334755,28.599361,4373,30
IT-VI,IT docs,32.74416,32.9654,33.268826,32.112854,28.318535,22.9302,20.856686,4373,30
IT-VI,VI docs,23.07907,24.570644,27.735323,29.887995,29.828432,28.942865,28.347124,4373,50
IT-ZH,IT + ZH docs,32.889725,33.160847,33.42738,32.60757,30.843582,29.580708,29.252518,4373,30
IT-ZH,IT docs,32.74416,32.983555,33.499634,32.332054,27.881699,21.280266,18.346556,4373,30
IT-ZH,ZH docs,19.558743,21.71822,26.652979,29.997221,30.230562,29.267416,28.94577,4373,70
JA-AR,AR docs,17.94323,20.413485,25.571207,28.52782,28.640282,27.433271,26.720814,4373,70
JA-AR,JA + AR docs,30.8847,31.310053,31.731483,31.41902,29.610092,27.811813,27.023365,4373,30
JA-AR,JA docs,30.724192,30.987337,30.991522,29.760458,24.526043,17.9698,15.095735,4373,30
JA-HI,HI docs,18.768265,21.484625,27.065123,30.993237,31.866356,30.919857,30.363998,4373,70
JA-HI,JA + HI docs,30.990341,31.474007,32.19548,32.762352,32.593445,31.214737,30.652798,4373,50
JA-HI,JA docs,30.724192,30.9871,31.18665,30.371813,26.311893,20.662813,17.947407,4373,30
JA-ID,ID docs,20.002817,22.468033,28.081406,31.618404,32.285934,31.632467,31.23286,4373,70
JA-ID,JA + ID docs,31.150015,31.581133,32.502087,33.083508,32.681145,31.836407,31.462593,4373,50
JA-ID,JA docs,30.724192,31.122938,31.59922,31.092882,27.129345,21.830114,19.448864,4373,30
JA-PT,JA + PT docs,31.177557,31.728651,33.018066,33.976734,34.198235,33.414413,33.013596,4373,70
JA-PT,JA docs,30.724192,31.165379,31.878506,31.013035,27.555717,22.284628,19.688515,4373,30
JA-PT,PT docs,20.357685,23.469612,29.453615,32.911766,34.06473,33.292774,32.86123,4373,70
JA-RU,JA + RU docs,31.24993,31.637417,32.553883,33.029827,32.375523,31.061928,30.45679,4373,50
JA-RU,JA docs,30.724192,31.020796,31.381142,30.601143,26.397013,21.193842,18.715101,4373,30
JA-RU,RU docs,19.823633,22.27615,27.724733,31.014986,31.76072,30.964397,30.337633,4373,70
JA-VI,JA + VI docs,31.02603,31.441284,32.05149,31.600504,30.050066,29.013798,28.252676,4373,30
JA-VI,JA docs,30.724192,31.102142,31.456266,30.177477,25.522583,19.562384,16.702707,4373,30
JA-VI,VI docs,19.212757,21.726795,26.3657,29.655678,29.815466,28.965492,28.347124,4373,70
JA-ZH,JA + ZH docs,31.320986,31.722887,32.34363,31.649033,30.715466,29.735527,29.082878,4373,30
JA-ZH,JA docs,30.724192,31.027702,31.297026,30.470072,26.484854,21.135117,19.074518,4373,30
JA-ZH,ZH docs,20.181503,22.401628,26.714167,29.6297,30.02097,29.527222,28.94577,4373,70
NL-AR,AR docs,20.173798,22.23198,26.439371,29.162535,28.936352,27.671682,26.720814,4373,50
NL-AR,NL + AR docs,33.11185,33.59452,33.606285,32.408733,30.338472,28.358662,27.303476,4373,30
NL-AR,NL docs,33.03506,33.53553,33.585754,31.92284,26.789001,20.159243,17.420534,4373,30
NL-HI,HI docs,21.203817,23.385653,27.934725,31.229416,31.60922,30.994072,30.363998,4373,70
NL-HI,NL + HI docs,32.964024,33.604473,34.06282,33.774284,32.526104,31.419302,30.649136,4373,30
NL-HI,NL docs,33.03506,33.614296,33.75497,32.980568,29.620293,23.941925,20.992077,4373,30
NL-ID,ID docs,26.268997,27.672462,30.381893,32.431347,32.573082,31.81141,31.23286,4373,70
NL-ID,NL + ID docs,33.2985,33.77704,34.264618,34.03965,33.206215,32.46151,31.797764,4373,30
NL-ID,NL docs,33.03506,33.348465,33.66591,33.214466,30.985426,27.9288,26.330305,4373,30
NL-JA,JA docs,20.341497,22.897463,27.988115,31.560085,31.912664,31.088251,30.724192,4373,70
NL-JA,NL + JA docs,33.071167,33.594498,33.930798,34.286114,32.81191,31.635494,31.152514,4373,50
NL-JA,NL docs,33.03506,33.489357,33.784004,33.102802,29.310968,23.432592,20.652107,4373,30
NL-PT,NL + PT docs,33.389637,33.886913,34.43809,34.71608,34.48252,33.908104,33.28071,4373,50
NL-PT,NL docs,33.03506,33.451138,33.909313,33.585087,31.37856,28.57485,27.139622,4373,30
NL-PT,PT docs,26.991701,28.430923,31.45227,33.577633,33.99244,33.442127,32.86123,4373,70
NL-RU,NL + RU docs,33.164715,33.90495,34.327126,33.902138,32.72604,31.548122,30.906658,4373,30
NL-RU,NL docs,33.03506,33.664734,33.74069,32.917076,29.688423,25.614077,23.285175,4373,30
NL-RU,RU docs,24.28105,26.076176,29.463242,31.624128,31.702858,30.871445,30.337633,4373,70
NL-VI,NL + VI docs,33.32229,33.738773,33.57654,32.521744,30.82646,29.393188,28.7132,4373,10
NL-VI,NL docs,33.03506,33.426655,33.44077,32.287254,28.077295,23.071825,21.06315,4373,30
NL-VI,VI docs,23.609772,25.12379,28.467588,30.414904,30.155697,28.985235,28.347124,4373,50
NL-ZH,NL + ZH docs,33.03652,33.38651,33.50512,32.729767,31.160244,29.81842,29.290451,4373,30
NL-ZH,NL docs,33.03506,33.421772,33.45543,32.540134,28.08769,21.40615,18.495169,4373,30
NL-ZH,ZH docs,19.78087,22.267702,26.928507,30.506924,30.423815,29.453806,28.94577,4373,50
PT-RU,PT + RU docs,33.161118,33.644554,34.242886,33.901005,32.902252,31.71974,30.908909,4373,30
PT-RU,PT docs,32.86123,33.221573,33.86181,33.31274,30.380941,25.952864,23.911442,4373,30
PT-RU,RU docs,24.723448,26.407433,29.893085,31.94794,31.856487,30.943424,30.337633,4373,50
PT-VI,PT + VI docs,32.957466,33.485115,33.750084,32.76699,30.918785,29.338148,28.766819,4373,30
PT-VI,PT docs,32.86123,33.31774,33.54057,32.22572,28.896582,23.54046,21.313978,4373,30
PT-VI,VI docs,23.355556,24.940136,27.997076,29.925257,29.922915,28.821642,28.347124,4373,50
RU-VI,RU + VI docs,30.769384,31.246756,31.8518,31.473202,30.100304,29.167868,28.489277,4373,30
RU-VI,RU docs,30.337633,30.81063,31.164286,30.184835,26.478207,21.192158,18.872286,4373,30
RU-VI,VI docs,20.481253,22.434143,26.740444,29.536774,29.646252,28.862913,28.347124,4373,70
ZH-PT,PT docs,18.687517,21.632713,28.06352,32.128757,33.6843,33.304283,32.86123,4373,70
ZH-PT,ZH + PT docs,29.305826,29.896124,31.194168,32.45798,33.609074,33.35633,32.990948,4373,70
ZH-PT,ZH docs,28.94577,29.50571,30.498379,30.177631,27.174046,22.102888,20.004045,4373,30
ZH-RU,RU docs,18.089897,20.656502,27.028448,30.84201,31.417517,30.656635,30.337633,4373,70
ZH-RU,ZH + RU docs,29.112064,29.701572,30.57536,31.511688,31.92559,31.084099,30.646463,4373,70
ZH-RU,ZH docs,28.94577,29.503355,30.196882,29.795975,26.213594,21.11226,18.673897,4373,30
ZH-VI,VI docs,18.393314,20.680696,25.793928,29.129808,29.518345,28.792366,28.347124,4373,70
ZH-VI,ZH + VI docs,29.243662,29.685963,30.618433,30.765858,29.799892,29.212276,28.699318,4373,50
ZH-VI,ZH docs,28.94577,29.365545,30.02652,29.444399,25.29846,19.921652,17.745079,4373,30
