pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
EN-NL,EN docs,33.6479,33.6438,-0.004100000000001103,10.0,en,nl,match,0,1,H-L,0.1923,0.4135,0.6667,0.5417,mono,L1 docs
EN-NL,NL docs,28.697,30.7082,2.0112000000000023,50.0,en,nl,match,0,1,H-L,0.1923,0.4135,0.6667,0.5417,mono,L2 docs
EN-PT,EN + PT docs,33.7435,33.7394,-0.004099999999993997,10.0,en,pt,match,1,1,H-L,0.1811,0.482,0.6667,0.8542,bi,L1+L2 docs
EN-PT,EN docs,33.6479,33.7083,0.06040000000000134,10.0,en,pt,match,1,1,H-L,0.1811,0.482,0.6667,0.8542,mono,L1 docs
EN-PT,PT docs,28.6351,30.3289,1.6937999999999995,50.0,en,pt,match,1,1,H-L,0.1811,0.482,0.6667,0.8542,mono,L2 docs
EN-RU,EN + RU docs,33.5226,33.6349,0.11230000000000473,10.0,en,ru,mismatch,1,1,H-L,0.2669,0.5352,1.0,0.75,bi,L1+L2 docs
EN-RU,EN docs,33.6276,33.7371,0.10949999999999704,10.0,en,ru,mismatch,1,1,H-L,0.2669,0.5352,1.0,0.75,mono,L1 docs
EN-RU,RU docs,27.2046,29.1969,1.9923000000000002,50.0,en,ru,mismatch,1,1,H-L,0.2669,0.5352,1.0,0.75,mono,L2 docs
EN-VI,EN + VI docs,33.6033,33.3383,-0.26500000000000057,10.0,en,vi,match,1,0,H-L,0.2793,0.5446,0.6667,1.0,bi,L1+L2 docs
EN-VI,EN docs,33.6276,33.4006,-0.22700000000000387,10.0,en,vi,match,1,0,H-L,0.2793,0.5446,0.6667,1.0,mono,L1 docs
EN-VI,VI docs,26.0873,28.4504,2.3630999999999993,50.0,en,vi,match,1,0,H-L,0.2793,0.5446,0.6667,1.0,mono,L2 docs
EN-ZH,EN + ZH docs,33.5246,33.1887,-0.3359000000000023,10.0,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,bi,L1+L2 docs
EN-ZH,EN docs,33.6276,33.4402,-0.18740000000000379,10.0,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,mono,L1 docs
EN-ZH,ZH docs,26.0793,27.8015,1.7222000000000008,50.0,en,zh,mismatch,1,0,H-H,0.3316,0.5325,0.8,1.0,mono,L2 docs
ES-DE,DE docs,27.8138,28.5519,0.7380999999999993,70.0,es,de,match,1,1,H-H,0.3224,-1.0,0.0,0.8452,mono,L2 docs
ES-DE,ES + DE docs,30.306,30.624,0.31799999999999784,10.0,es,de,match,1,1,H-H,0.3224,-1.0,0.0,0.8452,bi,L1+L2 docs
ES-DE,ES docs,30.0736,30.3279,0.25430000000000064,10.0,es,de,match,1,1,H-H,0.3224,-1.0,0.0,0.8452,mono,L1 docs
ES-FR,ES + FR docs,30.6799,31.4816,0.8017000000000003,70.0,es,fr,match,0,0,H-H,0.2737,-1.0,0.0,0.3487,bi,L1+L2 docs
ES-FR,ES docs,30.0726,30.721,0.6483999999999988,50.0,es,fr,match,0,0,H-H,0.2737,-1.0,0.0,0.3487,mono,L1 docs
ES-FR,FR docs,30.1557,30.6712,0.5154999999999994,70.0,es,fr,match,0,0,H-H,0.2737,-1.0,0.0,0.3487,mono,L2 docs
ES-IT,ES + IT docs,30.4642,31.2491,0.7848999999999968,50.0,es,it,match,0,0,H-L,0.1494,-1.0,0.0,0.3506,bi,L1+L2 docs
ES-IT,ES docs,30.0726,30.5475,0.4748999999999981,50.0,es,it,match,0,0,H-L,0.1494,-1.0,0.0,0.3506,mono,L1 docs
ES-IT,IT docs,29.0474,30.1456,1.098200000000002,50.0,es,it,match,0,0,H-L,0.1494,-1.0,0.0,0.3506,mono,L2 docs
ES-PT,ES + PT docs,30.3194,31.1556,0.8361999999999981,50.0,es,pt,match,0,0,H-L,0.1592,-1.0,0.0,0.1964,bi,L1+L2 docs
ES-PT,ES docs,30.0736,30.7701,0.6965000000000003,30.0,es,pt,match,0,0,H-L,0.1592,-1.0,0.0,0.1964,mono,L1 docs
ES-PT,PT docs,28.6351,29.9504,1.315299999999997,50.0,es,pt,match,0,0,H-L,0.1592,-1.0,0.0,0.1964,mono,L2 docs
FR-IT,FR + IT docs,30.2786,31.0451,0.7665000000000006,30.0,fr,it,match,0,0,H-L,0.1999,0.4133,0.0,0.4011,bi,L1+L2 docs
FR-IT,FR docs,30.0966,30.6209,0.5243000000000002,30.0,fr,it,match,0,0,H-L,0.1999,0.4133,0.0,0.4011,mono,L1 docs
FR-IT,IT docs,28.9457,29.9909,1.0452000000000012,70.0,fr,it,match,0,0,H-L,0.1999,0.4133,0.0,0.4011,mono,L2 docs
FR-PT,FR + PT docs,30.311,31.0485,0.7375000000000007,30.0,fr,pt,match,0,0,H-L,0.1608,0.4082,0.0,0.3934,bi,L1+L2 docs
FR-PT,FR docs,30.1557,30.5319,0.37620000000000076,30.0,fr,pt,match,0,0,H-L,0.1608,0.4082,0.0,0.3934,mono,L1 docs
FR-PT,PT docs,28.6351,29.5108,0.8756999999999984,50.0,fr,pt,match,0,0,H-L,0.1608,0.4082,0.0,0.3934,mono,L2 docs
HI-AR,AR docs,24.4812,25.719,1.2378,70.0,hi,ar,mismatch,1,1,L-H,0.2837,0.5893,1.0,1.0,mono,L2 docs
HI-AR,HI + AR docs,27.0773,28.2708,1.1935000000000002,30.0,hi,ar,mismatch,1,1,L-H,0.2837,0.5893,1.0,1.0,bi,L1+L2 docs
HI-AR,HI docs,26.8289,27.6021,0.7731999999999992,30.0,hi,ar,mismatch,1,1,L-H,0.2837,0.5893,1.0,1.0,mono,L1 docs
HI-ZH,HI + ZH docs,27.1128,28.2787,1.1659000000000006,30.0,hi,zh,mismatch,1,1,L-H,0.3268,0.5803,0.75,1.0,bi,L1+L2 docs
HI-ZH,HI docs,26.8289,27.2576,0.4286999999999992,30.0,hi,zh,mismatch,1,1,L-H,0.3268,0.5803,0.75,1.0,mono,L1 docs
HI-ZH,ZH docs,26.0793,26.5415,0.4621999999999993,90.0,hi,zh,mismatch,1,1,L-H,0.3268,0.5803,0.75,1.0,mono,L2 docs
