pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
DE-IT,IT docs,embed,70.0,30.1853,36.9236,0.9585,28.6078,31.7629,28.3052,32.0655,25.3111,46.5577,bge-m3,mmarco-8841823-italian-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251217-224840-agg.csv
DE-IT,IT docs,embed,90.0,29.5672,36.7138,0.953,27.9986,31.1358,27.6977,31.4366,24.7513,45.7828,bge-m3,mmarco-8841823-italian-de-it-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251217-224859-agg.csv
DE-IT,IT docs,embed,100.0,29.0474,36.4342,0.9458,27.4907,30.604,27.1921,30.9026,24.1884,45.4122,bge-m3,mmarco-8841823-italian-de-it-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251217-224922-agg.csv
DE-NL,DE + NL docs,embed,0.0,28.0768,36.2695,0.9415,26.5272,29.6264,26.23,29.9236,23.5377,43.4692,bge-m3,mmarco-8841823-bilingual-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-060754-agg.csv
DE-NL,DE + NL docs,embed,10.0,28.6079,36.37,0.9441,27.054,30.1619,26.756,30.4599,23.9627,44.4463,bge-m3,mmarco-8841823-bilingual-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-060814-agg.csv
DE-NL,DE + NL docs,embed,30.0,29.1532,36.4735,0.9468,27.5948,30.7115,27.2959,31.0104,24.4169,45.3616,bge-m3,mmarco-8841823-bilingual-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-060836-agg.csv
DE-NL,DE + NL docs,embed,50.0,29.8236,36.4205,0.9454,28.2675,31.3797,27.9691,31.6781,24.8022,47.0294,bge-m3,mmarco-8841823-bilingual-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-060858-agg.csv
DE-NL,DE + NL docs,embed,70.0,29.7533,36.8726,0.9572,28.1779,31.3287,27.8758,31.6309,24.9787,45.9344,bge-m3,mmarco-8841823-bilingual-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-060919-agg.csv
DE-NL,DE + NL docs,embed,90.0,29.3584,36.7425,0.9538,27.7886,30.9282,27.4875,31.2293,24.604,45.4627,bge-m3,mmarco-8841823-bilingual-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-060939-agg.csv
DE-NL,DE + NL docs,embed,100.0,28.6505,36.2543,0.9411,27.1015,30.1995,26.8044,30.4966,23.8308,44.8562,bge-m3,mmarco-8841823-bilingual-de-nl-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-061001-agg.csv
DE-NL,DE docs,embed,0.0,27.8138,36.2948,0.9422,26.2631,29.3645,25.9657,29.662,23.3621,43.0312,bge-m3,mmarco-8841823-german-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-064506-agg.csv
DE-NL,DE docs,embed,10.0,28.1885,36.4875,0.9472,26.6295,29.7474,26.3305,30.0464,23.6706,43.604,bge-m3,mmarco-8841823-german-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-064523-agg.csv
DE-NL,DE docs,embed,30.0,28.624,36.3175,0.9428,27.0723,30.1756,26.7747,30.4733,23.8406,44.9517,bge-m3,mmarco-8841823-german-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-064539-agg.csv
DE-NL,DE docs,embed,50.0,28.5561,36.4064,0.9451,27.0007,30.1116,26.7023,30.4099,23.8208,44.4632,bge-m3,mmarco-8841823-german-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-064554-agg.csv
DE-NL,DE docs,embed,70.0,27.6087,36.1815,0.9392,26.0628,29.1545,25.7663,29.451,23.1282,42.8291,bge-m3,mmarco-8841823-german-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-064608-agg.csv
DE-NL,DE docs,embed,90.0,25.8702,35.6023,0.9242,24.3491,27.3913,24.0573,27.683,21.5793,40.3695,bge-m3,mmarco-8841823-german-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-064624-agg.csv
DE-NL,DE docs,embed,100.0,24.4596,35.055,0.91,22.9619,25.9574,22.6746,26.2446,20.3912,38.2132,bge-m3,mmarco-8841823-german-de-nl-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-064640-agg.csv
DE-NL,NL docs,embed,0.0,25.0267,34.8196,0.9039,23.539,26.5144,23.2537,26.7997,20.6779,39.8023,bge-m3,mmarco-8841823-dutch-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-062920-agg.csv
DE-NL,NL docs,embed,10.0,26.2674,35.3832,0.9185,24.7557,27.7792,24.4657,28.0691,21.759,41.5544,bge-m3,mmarco-8841823-dutch-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-062937-agg.csv
DE-NL,NL docs,embed,30.0,28.3802,36.019,0.935,26.8412,29.9191,26.5461,30.2142,23.6008,44.7215,bge-m3,mmarco-8841823-dutch-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-062954-agg.csv
DE-NL,NL docs,embed,50.0,29.6927,36.5863,0.9497,28.1296,31.2559,27.8298,31.5557,24.7566,46.4398,bge-m3,mmarco-8841823-dutch-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-063010-agg.csv
DE-NL,NL docs,embed,70.0,29.8191,36.9322,0.9587,28.2412,31.397,27.9385,31.6997,25.0334,46.0018,bge-m3,mmarco-8841823-dutch-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-063025-agg.csv
DE-NL,NL docs,embed,90.0,29.2963,36.7506,0.954,27.7262,30.8665,27.425,31.1677,24.5337,45.3953,bge-m3,mmarco-8841823-dutch-de-nl-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-063041-agg.csv
DE-NL,NL docs,embed,100.0,28.7007,36.3288,0.943,27.1485,30.2528,26.8508,30.5505,23.8506,44.8226,bge-m3,mmarco-8841823-dutch-de-nl-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-063100-agg.csv
EN-AR,AR docs,embed,0.0,21.6586,33.5503,0.8709,20.2251,23.092,19.9502,23.3669,18.0121,34.3834,bge-m3,mmarco-8841823-arabic-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-063954-agg.csv
EN-AR,AR docs,embed,10.0,23.2763,34.0658,0.8843,21.8208,24.7318,21.5417,25.0109,19.3414,36.9778,bge-m3,mmarco-8841823-arabic-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-064011-agg.csv
EN-AR,AR docs,embed,30.0,26.4052,35.8402,0.9304,24.8739,27.9364,24.5802,28.2301,22.1613,40.8637,bge-m3,mmarco-8841823-arabic-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-064025-agg.csv
